graph_name,graph_order,graph_size,best_fitness,worst_fitness,mean_fitness,std_fitness,best_time
dwt_419,419,1572,129,142,137.03,3.45,123264
bcsstk06,420,3720,84,91,88.17,1.84,201837
bcsstm07,420,3416,86,96,90.97,2.47,176573
impcol_d,425,1267,156,169,162.73,3.53,115453
hor_131,434,2138,112,122,115.53,2.43,163090
bcspwr05,443,590,246,254,248.93,1.78,106916
can_445,445,1682,126,142,134.4,3.46,139214
nos5,468,2352,133,142,137.37,2.43,151702
west0479,479,1889,166,172,169.0,1.93,151531
bcsstk20,485,1325,191,207,199.67,3.45,141968
mbeaflw,492,41686,8,8,8.0,0.0,1514680
mbeacxc,492,41686,8,8,8.0,0.0,1309937
mbeause,492,36209,3,3,3.0,0.0,1175558
494_bus,494,586,290,297,293.03,1.88,136294
dwt_503,503,2762,117,131,122.97,3.05,213284
lns_511,511,1425,232,250,240.5,4.17,169854
gre_512,512,1680,195,213,204.67,4.29,175103
pores_3,532,1850,195,217,206.0,5.51,191226
fs_541_1,541,2466,2,2,2.0,0.0,296291
dwt_592,592,2256,164,179,170.47,3.77,232703
steam2,600,6580,72,84,76.4,2.65,414216
west0655,655,2841,220,236,226.3,3.56,301141
662_bus,662,906,351,360,355.73,2.86,243561
shl_200,663,1720,177,178,177.2,0.41,263173
nnc666,666,2148,278,279,278.9,0.31,265079
fs_680_1,680,1464,337,349,343.43,2.96,254439
685_bus,685,1282,320,330,325.53,2.96,271220
can_715,715,2975,157,165,161.97,1.9,383884
nos7,729,1944,300,323,310.13,5.19,353007
fs_760_1,760,3518,226,234,229.7,1.97,419619
mcfe,765,15358,90,90,90.0,0.0,928909
bcsstk19,817,3018,258,269,264.23,3.37,519382
bp_1600,822,4809,232,246,242.57,3.42,488623
bp_1400,822,4760,242,249,244.83,2.0,467664
bp_1000,822,4635,246,258,251.23,3.29,515783
bp_1200,822,4698,235,251,242.53,4.19,492111
bp_600,822,4157,264,275,268.77,3.08,524764
bp_0,822,3260,311,322,315.83,2.9,500997
bp_200,822,3788,278,288,283.5,2.6,430226
bp_400,822,4015,271,288,279.4,5.33,431947
bp_800,822,4518,250,255,253.13,1.36,460186
can_838,838,4586,181,202,193.2,5.02,619884
dwt_878,878,3285,262,284,270.8,5.29,581142
orsirr_2,886,2542,349,365,357.73,4.44,569661
gr_30_30,900,3422,265,285,274.63,4.63,703145
dwt_918,918,3233,240,261,250.6,4.76,605225
jagmesh1,936,2664,356,369,360.97,2.95,584674
nos2,957,1590,580,597,590.5,4.0,570768
nos3,960,7442,151,171,161.47,4.52,1035009
west0989,989,3500,313,323,318.13,2.83,697160
jpwh_991,991,2678,385,397,390.1,3.58,660454
dwt_992,992,7876,146,166,156.67,4.34,1093492
saylr3,1000,1375,657,671,664.1,3.97,690412
sherman1,1000,1375,655,671,662.9,3.92,628128
sherman4,1104,1341,796,809,803.2,2.88,817970
plat1919,1919,15240,309,344,327.9,6.9,5228692
